Order ID,Order Date,Customer ID,Customer Name,City,Region,Segment,Category,Product,Quantity,Cost Price,Unit Price,Discount,Sales,Profit,Payment Method
ORD000001,2024-06-23,CUST6734,Mark Serrano,Ricemouth,South,Home Office,Office Supplies,Product_88,7,399.29,519.79,0.2,2910.82,115.79,Card
ORD000002,2026-03-26,CUST1769,Elizabeth Rodriguez,Lake Ralphton,West,Corporate,Furniture,Product_192,4,75.72,137.51,0.2,440.03,137.15,Net Banking
ORD000003,2025-12-23,CUST9666,Wanda Murray,Edwardsview,East,Home Office,Furniture,Product_188,5,310.65,550.73,0.2,2202.92,649.67,Net Banking
ORD000004,2024-11-26,CUST2899,Nancy Espinoza,Turnerbury,East,Consumer,Office Supplies,Product_51,7,230.75,453.12,0.1,2854.66,1239.41,Cash
ORD000005,2023-09-12,CUST9433,Rachel Harrison,West Bradleyshire,South,Consumer,Furniture,Product_53,5,228.0,254.13,0.0,1270.65,130.65,UPI
ORD000006,2025-02-27,CUST1775,Donald Wheeler,Brownshire,East,Home Office,Electronics,Product_164,4,124.31,230.17,0.15,782.58,285.34,UPI
ORD000007,2024-03-12,CUST4843,Travis Sanders,,South,Consumer,Furniture,Product_44,4,159.3,266.36,0.05,1012.17,374.97,UPI
ORD000008,2024-04-05,CUST2016,Tyler Crawford,West Richardville,South,Consumer,Sports,Product_82,2,447.94,787.34,0.3,1102.28,206.4,Cash
ORD000009,2025-11-10,CUST9571,Kristy Mccall,New Kimberly,North,Consumer,Sports,Product_15,5,295.44,638.68,0.15,2714.39,1237.19,Card
ORD000010,2026-01-03,CUST3027,Joseph Grimes,Riverahaven,West,Home Office,Office Supplies,Product_81,1,12.74,19.95,0.0,19.95,7.21,Net Banking
ORD000011,2023-08-10,CUST7184,Jason Hart,East Jason,West,Home Office,Electronics,Product_72,3,396.14,699.8,0.05,1994.43,806.01,Net Banking
ORD000012,2025-05-18,CUST9996,Ryan Cruz,New Christy,East,Corporate,Office Supplies,Product_35,2,52.23,78.76,0.3,110.26,5.8,
ORD000013,2026-04-14,CUST2028,Christina Marshall,Howardmouth,South,Home Office,Office Supplies,Product_137,3,64.2,120.99,0.0,362.97,170.37,Cash
ORD000014,2024-03-20,CUST1863,Robert Cunningham,Clarkshire,East,Consumer,Clothing,Product_96,7,59.89,94.82,0.1,597.37,178.14,Net Banking
ORD000015,2026-01-17,CUST5636,Samantha Dean,Terryside,West,Consumer,Office Supplies,Product_86,6,73.97,130.55,0.1,704.97,261.15,
ORD000016,2026-04-13,CUST3693,Marissa Proctor,North Justin,West,Corporate,Office Supplies,Product_128,2,314.06,447.6,0.2,716.16,88.04,UPI
ORD000017,2026-03-01,CUST2306,Tiffany Smith,Meganburgh,South,Consumer,Clothing,Product_3,7,448.57,650.34,0.0,4552.38,1412.39,Cash
ORD000018,2025-01-31,CUST1663,Jennifer Malone,East Josephchester,East,Home Office,Electronics,Product_180,6,257.82,401.98,0.2,1929.5,382.58,Card
ORD000019,2024-06-04,CUST8554,Kevin Wheeler,Tracyberg,WEST,Consumer,Electronics,Product_184,6,486.03,1049.19,0.3,4406.6,1490.42,Card
ORD000020,2025-01-03,CUST1854,Robert Elliott,New James,North,Consumer,Electronics,Product_147,3,306.73,507.01,0.3,1064.72,144.53,UPI
ORD000021,2026-01-01,CUST6535,Joy Clark,Tracytown,East,Home Office,Office Supplies,Product_184,2,267.81,426.5,0.3,597.1,61.48,Cash
ORD000022,2025-07-01,CUST8777,Tammy Ward,Fostertown,South,Corporate,Office Supplies,Product_144,1,365.47,549.87,0.15,467.39,101.92,upi
ORD000023,99-99-9999,CUST1659,Manuel Clark,West Christyhaven,West,Home Office,Clothing,Product_147,1,163.79,213.77,0.2,171.02,7.23,UPI
ORD000024,2024-03-02,CUST9680,Victoria Lloyd,Andrewschester,North,Home Office,Furniture,Product_104,3,405.7,601.87,0.15,1534.77,317.67,Card
ORD000025,2025-09-10,CUST1262,Janet Adams,Lake Ryan,West,Corporate,Electronics,Product_60,3,173.83,212.91,0.3,447.11,-74.38,Card
ORD000026,2025-01-13,CUST4108,Jason Hill,East Mary,West,Home Office,Electronics,Product_99,2,498.15,1076.98,0.2,1723.17,726.87,Cash
ORD000027,2023-08-01,CUST2648,Jessica Castillo,West Kennethton,West,Corporate,Clothing,Product_112,3,428.88,662.6,0.0,1987.8,701.16,UPI
ORD000028,2024-04-23,CUST5433,Laura Barrett,Port Stevenport,South,Corporate,Office Supplies,Product_189,1,333.43,368.63,0.3,258.04,-75.39,Card
ORD000029,2025-01-03,CUST5911,Matthew Alvarez,Byrdberg,West,Home Office,Office Supplies,Product_145,4,357.53,486.59,0.2,1557.09,126.97,Net Banking
ORD000030,2024-12-28,CUST4446,Alexander Russell,Andersenchester,South,Corporate,Sports,Product_51,1,273.56,454.03,0.3,317.82,44.26,UPI
ORD000031,2024-09-02,CUST8022,Diana Stewart,West James,West,Consumer,Sports,Product_61,3,220.03,326.76,0.0,980.28,320.19,Net Banking
ORD000032,2026-01-31,CUST8339,Cameron Davis,West Maria,West,Corporate,Sports,Product_46,3,288.14,560.55,0.0,1681.65,817.23,Card
ORD000033,2023-10-16,CUST1301,Edward Frank,Riggsfurt,North,Home Office,Office Supplies,Product_188,6,188.23,210.25,0.2,1009.2,-120.18,Card
ORD000034,32-01-2024,CUST4327,Gregory Gregory,Erinshire,East,Corporate,Electronics,Product_54,4,150.75,229.68,0.0,918.72,315.72,UPI
ORD000035,2025-04-01,CUST2686,John Thomas,,north,Home Office,Office Supplies,Product_130,3,287.18,346.6,0.3,727.86,-133.68,UPI
ORD000036,2024-05-17,CUST8343,Richard Nelson,East Melissaberg,East,Consumer,Furniture,Product_26,1,425.09,531.48,0.3,372.04,-53.05,Cash
ORD000037,2025-09-12,CUST3950,Daniel Turner,West Allenbury,North,Consumer,Clothing,Product_65,2,434.2,913.8,0.05,1736.22,867.82,Net Banking
ORD000038,2026-02-19,CUST6919,Jacqueline Jackson,Davidfurt,East,Home Office,Office Supplies,Product_153,6,398.92,829.36,0.15,4229.74,1836.22,UPI
ORD000039,2026-04-16,CUST8509,Sharon Bell,Franklinchester,WEST,Corporate,Office Supplies,Product_188,7,491.01,993.23,0.05,6604.98,3167.91,
ORD000040,2024-12-26,CUST1004,Doris Carroll,West Andrestad,,Corporate,Sports,Product_116,1,414.8,580.18,0.15,493.15,78.35,UPI
ORD000041,2024-03-29,CUST5465,Ashley Glover,South Nathanstad,West,Corporate,Office Supplies,Product_145,7,351.26,439.84,0.2,2463.1,4.28,Net Banking
ORD000042,2023-12-15,CUST9932,Donald Hamilton,Cannonhaven,South,Consumer,Electronics,Product_140,7,219.59,421.27,0.05,2801.45,1264.32,Card
ORD000043,2026-05-31,CUST8805,Richard Patterson,New Davidstad,South,Consumer,Sports,Product_117,1,90.78,115.48,0.05,109.71,18.93,Card
ORD000044,2024-10-21,CUST8004,Jeffrey Patel,Mariahton,East,Home Office,Clothing,Product_154,5,370.26,633.07,0.3,2215.74,364.44,Net Banking
ORD000045,2024-05-23,,,Brandonfurt,East,Consumer,Clothing,Product_197,3,380.13,424.16,0.3,890.74,-249.65,
ORD000046,2025-10-08,CUST8421,Lisa Lopez,West Patrickberg,South,Consumer,Furniture,Product_10,2,382.87,760.99,0.15,1293.68,527.94,UPI
ORD000047,2026-04-21,CUST7905,Edward Garner,,East,Corporate,Electronics,Product_69,5,443.91,615.7,0.05,2924.58,705.03,Card
ORD000048,2023-09-11,CUST7303,Emily Beard,Mccarthyport,East,Corporate,Office Supplies,Product_124,4,309.85,662.55,0.05,2517.69,1278.29,Card
ORD000049,2024/15/01,CUST9002,Donald Martinez,New Taylor,North,Consumer,Furniture,Product_43,1,406.55,814.2,0.15,692.07,285.52,Net Banking
ORD000050,2025-10-29,CUST9945,Robert Patel,South Lisa,East,Home Office,Electronics,Product_90,5,39.33,47.62,0.05,226.2,29.55,
ORD000051,2025-08-14,CUST9306,Stephanie Dickson,Port Bryan,North,Home Office,Clothing,Product_58,5,423.21,476.36,0.05,2262.71,146.66,Card
ORD000052,2025-02-18,CUST1728,Casey Phillips,West Shelly,North,Consumer,Electronics,Product_164,2,316.33,653.29,0.15,1110.59,477.93,UPI
ORD000053,2024-09-10,CUST2122,Michael Allen,,West,Corporate,Electronics,Product_96,5,376.55,748.4,0.0,3742.0,1859.25,Net Banking
ORD000054,2024-08-29,CUST4766,Allison Lee,New Brenttown,North,Home Office,Electronics,Product_99,7,465.72,952.05,0.0,6664.35,3404.31,Card
ORD000055,2023-09-16,CUST2365,Grant Brown,Briantown,,Home Office,Office Supplies,Product_177,6,451.76,748.01,0.0,4488.06,1777.5,Net Banking
ORD000056,2025-05-02,CUST3502,Emily Johnson,Brandonburgh,West,Corporate,Clothing,Product_83,4,479.48,974.24,0.0,3896.96,1979.04,UPI
ORD000057,2024-05-31,CUST8192,Lori Cunningham,Lake Brendafort,West,Home Office,Sports,Product_53,7,46.23,55.52,0.15,330.34,6.73,
ORD000058,2023-09-27,CUST7541,Daniel Brown,Leeview,East,Corporate,Sports,Product_163,1,61.16,129.91,0.05,123.41,62.25,UPI
ORD000059,2026-05-25,CUST8241,David Hernandez,West Kristyshire,South,Consumer,Sports,Product_7,5,178.7,219.58,0.15,933.22,39.72,
ORD000060,2026-02-16,CUST3681,Stacy Harrison,Jacksonshire,South,Consumer,Sports,Product_165,5,115.18,176.95,0.1,796.28,220.38,UPI
ORD000061,2024-08-22,CUST9691,Maria Lyons,East Johnshire,North,Home Office,Electronics,Product_45,3,292.75,599.98,0.3,1259.96,381.71,Net Banking
ORD000062,2025-06-22,CUST3923,Kim Cunningham,Carterburgh,South,Home Office,Office Supplies,Product_90,4,191.25,0.0,0.2,729.41,-35.59,Cash
ORD000063,2025-02-16,,,New Christopherport,South,Consumer,Electronics,Product_167,7,220.05,303.46,0.05,2018.01,477.66,
ORD000064,2025-03-17,CUST8576,Arthur Chen,South Williamside,West,Consumer,Sports,Product_134,3,293.77,634.07,0.15,1616.88,735.57,UPI
ORD000065,2024-06-06,CUST5175,Emily Davis,Hunterside,,Consumer,Office Supplies,Product_164,4,489.06,837.08,0.2,2678.66,722.42,Cash
ORD000066,2026-02-16,,,Browntown,South,Home Office,Electronics,Product_117,3,484.8,812.24,0.0,2436.72,982.32,
ORD000067,2023-07-28,CUST2353,Shawn Johnson,Hernandezton,West,Corporate,Clothing,Product_152,6,195.18,372.95,0.1,2013.93,842.85,Net Banking
ORD000068,2024-02-14,CUST4719,Shannon Coleman,South Matthewtown,South,Corporate,Clothing,Product_101,5,142.3,185.98,0.05,883.4,171.9,Card
ORD000069,2024-08-23,CUST6320,Charles Cruz,Lake Alvin,North,Consumer,Clothing,Product_157,4,493.17,921.23,0.0,3684.92,1712.24,Card
ORD000070,2023-11-23,CUST1255,Paul Robinson,New Shannon,North,Home Office,Electronics,Product_194,6,42.72,91.19,0.1,492.43,236.11,UPI
ORD000071,2024-10-24,CUST3193,Sean Boyer,Port Kevinview,West,Home Office,Electronics,Product_11,6,433.7,498.64,0.0,2991.84,389.64,Card
ORD000072,2024-06-12,CUST5784,Tiffany Powers,New Melissamouth,North,Consumer,Furniture,Product_105,2,193.54,419.38,0.1,754.88,367.8,Cash
ORD000073,2024-09-03,CUST3000,Daniel Golden,Castrochester,North,Home Office,Sports,Product_102,7,140.34,163.08,0.3,799.09,-183.29, card
ORD000074,2026-03-19,CUST5178,Dominique Reeves,Taylorhaven,North,Consumer,Electronics,Product_110,5,294.65,559.46,0.05,2657.44,1184.19,Card
ORD000075,2023-11-23,CUST5976,Nathan Ross,East Elizabethberg,,Corporate,Clothing,Product_95,3,140.99,187.23,0.0,561.69,138.72,Net Banking
ORD000076,2023-10-16,CUST1770,Michelle Aguilar,Kellyview,East,Corporate,Clothing,Product_193,7,337.43,564.3,0.3,2765.07,403.06,UPI
ORD000077,2025-12-05,CUST7544,Jennifer Castillo,West Nicoleview,West,Home Office,Sports,Product_85,4,282.66,583.5,0.0,2334.0,1203.36,UPI
ORD000078,2024-09-30,CUST7881,Amber Smith,New Wendy,South,Corporate,Furniture,Product_82,2,403.5,844.71,0.15,1436.01,629.01,UPI
ORD000079,2024-12-19,CUST5261,George Anderson,Riveraberg,North,Home Office,Clothing,Product_30,7,221.55,464.05,0.15,2761.1,1210.25,Cash
ORD000080,2023-09-22,CUST1137,Donald Patterson,Smithfurt,West,Consumer,Furniture,Product_17,2,431.87,926.13,0.15,1574.42,710.68,Net Banking
ORD000081,2024-07-10,CUST6569,William Campos,New Aaron,North,Corporate,Office Supplies,Product_43,4,232.27,505.89,0.2,1618.85,689.77,Net Banking
ORD000082,2024-08-23,CUST7031,Katelyn Ochoa,Lake Davidburgh,West,Consumer,Office Supplies,Product_96,3,42.55,52.84,0.1,142.67,15.02,
ORD000083,2025-04-09,CUST8570,Joe Baldwin,Nataliemouth,North,Consumer,Furniture,Product_92,3,335.44,432.57,0.05,1232.82,226.5,UPI
ORD000084,2026-05-08,CUST7376,Sean Mccormick,New Wayne,West,Corporate,Furniture,Product_177,5,20.74,35.33,0.2,141.32,37.62,UPI
ORD000085,2025-07-03,CUST7190,Brenda Estrada,Harveyberg,North,Corporate,Office Supplies,Product_63,2,346.75,396.42,0.0,792.84,99.34,Net Banking
ORD000086,2026-02-13,CUST2276,Benjamin Haynes,Jacksonmouth,West,Home Office,Furniture,Product_28,5,6.28,12.91,0.0,64.55,33.15,Cash
ORD000087,2025-01-23,CUST6126,Rebecca Johnson,Port Jacob,,Home Office,Office Supplies,Product_18,6,233.95,449.7,0.3,1888.74,485.04,UPI
ORD000088,2026-03-11,CUST6750,Mark Garcia,Sarahview,North,Corporate,Electronics,Product_17,6,268.65,367.17,0.0,2203.02,591.12,Cash
ORD000089,2026-03-06,CUST4596,Monica Cochran,Paulport,West,Consumer,Clothing,Product_138,6,167.11,205.84,0.0,1235.04,232.38,Cash
ORD000090,2026-06-10,CUST8943,Amy Pham,North Charles,WEST,Consumer,Clothing,Product_83,1,251.73,300.97,0.3,210.68,-41.05,UPI
ORD000091,2023-12-02,CUST1876,Carolyn Gonzales,Tapiaburgh,South,Consumer,Electronics,Product_33,1,172.04,359.5,0.05,341.52,169.48,Card
ORD000092,2024-01-14,CUST7986,Joshua Watson,Starkview,South,Corporate,Electronics,Product_131,6,116.54,175.03,0.15,892.65,193.41,Cash
ORD000093,2024-11-29,CUST8489,William Saunders,,West,Home Office,Clothing,Product_79,7,208.15,453.9,0.3,2224.11,767.06,
ORD000094,2024-08-11,CUST6560,Jonathan Miller,East Anna,South,Home Office,Office Supplies,Product_136,6,132.66,170.86,0.1,922.64,126.68,UPI
ORD000095,2023-10-08,CUST9915,Alexa Kim,South Summerfort,North,Consumer,Clothing,Product_47,3,420.1,556.88,0.05,1587.11,326.81,Card
ORD000096,2024-10-06,CUST5234,Nicholas Mckay,Port Howardborough,East,Consumer,Office Supplies,Product_3,2,385.05,460.53,0.3,644.74,-125.36,Card
ORD000097,2024-12-08,CUST3219,Kathleen Strong,,South,Consumer,Furniture,Product_84,6,171.62,214.16,0.05,1220.71,190.99,Card
ORD000098,2023-12-24,CUST4490,Ryan Washington,Lake Justinville,South,Home Office,Electronics,Product_69,7,342.34,662.86,0.1,4176.02,1779.64,UPI
ORD000099,2023-12-23,CUST6256,Mary Bell,Lake Lindsayfurt,South,Home Office,Office Supplies,Product_1,4,482.69,596.96,0.1,2149.06,218.3,Net Banking
ORD000100,2025-08-31,CUST7413,Jon Swanson,,West,Corporate,Office Supplies,Product_165,6,28.81,56.46,0.1,304.88,132.02,Card
ORD000101,2025-11-17,CUST1600,Mark Wilson,Michelleland,North,Corporate,Electronics,Product_146,3,334.27,560.03,0.15,1428.08,425.27,Net Banking
ORD000102,2024-07-15,CUST7565,Gilbert Wood,East Carriechester,WEST,Home Office,Electronics,Product_153,7,358.32,748.76,0.2,4193.06,1684.82,Card
ORD000103,2025-06-13,CUST4687,Brian Herman,New Zacharyfurt,West,Home Office,Office Supplies,Product_198,1,198.78,334.95,0.2,267.96,69.18,UPI
ORD000104,2025-06-10,CUST6742,Jessica Carter,Julieville,North,Consumer,Clothing,Product_155,3,315.72,463.6,0.15,1182.18,235.02,Net Banking
ORD000105,2024-06-07,CUST1950,David Jimenez,Monicaport,North,Corporate,Clothing,Product_86,5,80.08,115.55,0.2,462.2,61.8,UPI
ORD000106,2024-05-03,CUST7028,Christina Smith,East Claytonfort,East,Home Office,Clothing,Product_109,2,249.52,481.6,0.3,674.24,175.2,Net Banking
ORD000107,2024-03-24,CUST3371,Jessica Kidd,North Catherine,West,Consumer,Furniture,Product_155,4,201.66,398.69,0.2,1275.81,469.17,Cash
ORD000108,2023-09-16,CUST3116,Lauren Sims,East Vincent,West,Home Office,Furniture,Product_104,3,348.5,591.4,0.1,1596.78,551.28,UPI
ORD000109,2026-06-14,CUST9554,Benjamin Sullivan,New Robertchester,West,Corporate,Sports,Product_104,6,203.42,327.14,0.3,1373.99,153.47,UPI
ORD000110,2025-01-09,CUST4531,Edward Nichols,Harriston,,Consumer,Sports,Product_72,2,307.67,344.57,0.15,585.77,-29.57,Cash
ORD000111,2025-01-04,CUST6109,Darrell Kennedy,Lake Jasmin,East,Consumer,Electronics,Product_11,2,386.77,584.75,0.0,1169.5,395.96,Cash
ORD000112,2024-06-16,CUST4030,Kara Newton,South Jill,North,Consumer,Office Supplies,Product_168,1,61.05,133.29,0.3,93.3,32.25,Cash
ORD000113,2026-01-21,CUST4507,Thomas Mcgee,West Scottberg,North,Consumer,Furniture,Product_169,5,192.76,369.84,0.05,1756.74,792.94,Cash
ORD000114,2023-09-15,CUST9577,Diane Buck,North Matthewtown,East,Corporate,Office Supplies,Product_162,7,210.18,430.84,0.3,2111.12,639.86,Cash
ORD000115,2023-09-18,CUST2205,Shelly Mccoy,South Gregory,,Consumer,Clothing,Product_198,1,295.6,335.84,0.1,302.26,6.66,Card
ORD000116,2025-03-11,,,New Rose,West,Corporate,Sports,Product_49,1,184.38,320.57,0.3,224.4,40.02,upi
ORD000117,2025-05-22,CUST9533,Kimberly Morrison,Shawnborough,West,Home Office,Sports,Product_104,1,480.73,607.42,0.3,425.19,-55.54,Card
ORD000118,2025-08-08,CUST9058,William Garcia,West Walter,south,Home Office,Sports,Product_49,7,299.72,351.81,0.1,2216.4,118.36,Card
ORD000119,2026-04-29,CUST1768,Mark Miller,East Brendamouth,South,Home Office,Furniture,Product_194,5,238.67,410.83,0.05,1951.44,758.09,UPI
ORD000120,2026-01-10,CUST5926,Mary Wilson,West Regina,West,Consumer,Sports,Product_55,4,243.14,400.38,0.1,1441.37,468.81,Cash
ORD000121,2026-02-17,CUST7305,Christina Gibson,Smithfort,West,Consumer,Clothing,Product_32,3,189.79,265.29,0.3,557.11,-12.26,UPI
ORD000122,2023-08-31,,,South Jacob,South,Consumer,Sports,Product_67,7,331.17,374.16,0.1,2357.21,39.02,Cash
ORD000123,2023-06-16,CUST3143,Rhonda Parker,West Jenniferside,West,Corporate,Office Supplies,Product_144,1,280.58,531.11,0.1,478.0,197.42,Net Banking
ORD000124,2025-12-01,CUST7150,Andrew Shannon,West Lauriemouth,South,Home Office,Electronics,Product_151,4,335.7,444.96,0.05,1690.85,348.05,Card
ORD000125,2024-04-24,CUST5177,Shelley Rodriguez,Lake Dawnville,South,Consumer,Sports,Product_148,3,65.77,135.76,0.2,325.82,128.51,
ORD000126,2024-06-15,CUST2555,Bobby Mosley,Port Roy,North,Consumer,Electronics,Product_53,2,413.43,619.88,0.15,1053.8,226.94,Net Banking
ORD000127,2025-01-18,CUST3679,Robin Griffin,Leonardport,East,Corporate,Electronics,Product_114,3,474.48,920.48,0.0,2761.44,1338.0,Cash
ORD000128,2026-05-02,,,West Zacharyfort,East,Consumer,Office Supplies,Product_4,1,138.0,234.02,0.2,187.22,49.22,UPI
ORD000129,2026-05-21,,,Thompsonport,South,Corporate,Sports,Product_42,2,450.78,838.61,0.2,1341.78,440.22,Net Banking
ORD000130,2024-05-16,CUST8141,Misty Johnson,Lauraberg,South,Home Office,Sports,Product_106,1,140.66,240.47,0.0,240.47,99.81,
ORD000131,2025-11-08,CUST5263,Ashley Smith,East Johnnyborough,South,Consumer,Electronics,Product_53,5,135.52,188.8,0.1,849.6,172.0,Cash
ORD000132,32-01-2024,CUST3681,Suzanne Williams,South Michaelville,South,Corporate,Clothing,Product_54,2,457.63,714.2,0.15,1214.14,298.88,Cash
ORD000133,2024-02-15,CUST5124,Dr. Marcus Archer,Geraldhaven,North,Home Office,Office Supplies,Product_164,1,45.99,81.1,0.05,77.04,31.05,Card
ORD000134,2024-01-03,CUST5150,Sharon Rivas,Leestad,East,Corporate,Sports,Product_56,3,152.08,262.04,0.05,746.81,290.57,Card
ORD000135,2026-01-14,CUST8101,Ashley Castaneda,Johnchester,north,Consumer,Office Supplies,Product_154,2,20.44,28.38,0.1,51.08,10.2,UPI
ORD000136,2025-02-08,CUST2240,Robert Smith,Lake Charleston,North,Home Office,Furniture,Product_25,5,175.47,260.87,0.0,1304.35,427.0,Cash
ORD000137,2025-02-23,,,Dianeborough,South,Corporate,Clothing,Product_19,3,410.46,812.45,0.15,2071.75,840.37,Card
ORD000138,2026-01-28,CUST1329,Becky Zuniga,Millerburgh,North,Home Office,Electronics,Product_47,4,404.68,873.42,0.0,3493.68,1874.96,Net Banking
ORD000139,2025-03-06,CUST2750,Tracie Kane,Gabriellaville,North,Corporate,Electronics,Product_89,6,479.29,927.06,0.2,4449.89,1574.15,Net Banking
ORD000140,2025-02-04,CUST9238,William Davis,Galvanchester,West,Corporate,Electronics,Product_151,7,348.12,402.69,0.05,2677.89,241.05,UPI
ORD000141,2025-05-09,CUST8686,Nina Sparks,Espinozaberg,North,Home Office,Furniture,Product_59,5,239.24,345.5,0.2,1382.0,185.8,Cash
ORD000142,2024-05-06,CUST5497,Jimmy Armstrong,Johnsontown,East,Corporate,Electronics,Product_14,5,239.74,491.05,0.1,2209.72,1011.02,Cash
ORD000143,2024/15/01,CUST3983,Ryan Macdonald,East John,South,Home Office,Clothing,Product_39,3,282.54,460.31,0.1,1242.84,395.22,Card 
ORD000144,2024-06-22,,,Hernandezhaven,South,Corporate,Furniture,Product_55,1,271.51,496.27,0.2,397.02,125.51,upi
ORD000145,2024-07-07,CUST4810,Jeffrey Sullivan,Meganfort,East,Home Office,Clothing,Product_29,2,495.22,544.87,0.2,871.79,-118.65,UPI
ORD000146,2024-09-23,CUST1271,Stephen Huber,Lake Randallfort,West,Home Office,Electronics,Product_10,1,203.96,332.02,0.0,332.02,128.06,UPI
ORD000147,2025-08-16,CUST4760,Brent Reese,Port Robert,East,Consumer,Furniture,Product_68,1,171.5,287.22,0.0,287.22,115.72,UPI
ORD000148,2023-08-28,CUST9173,Laura Singleton,West Dannystad,East,Consumer,Electronics,Product_121,6,296.61,416.73,0.2,2000.3,220.64,upi
ORD000149,2025-12-20,CUST5805,Vanessa Wyatt,Port Samuel,East,Home Office,Office Supplies,Product_62,4,113.04,242.47,0.2,775.9,323.74,Card
